crop,crop_id,month,growth_stage,soil_moisture_pct,temperature_c,humidity_pct,rainfall_24h_mm,wind_speed_kmh,solar_radiation,eto_mm_day,kc,etc_mm_day,days_since_irrigation,moisture_threshold,irrigate
wheat,2,8,0,23.3,34.2,21.6,0.0,1.5,13.9,12.0,0.4,4.8,9,30,1
olive,0,5,2,26.0,19.3,47.7,0.0,4.5,25.0,6.03,0.75,4.52,10,40,1
wheat,2,10,0,44.6,18.2,71.6,0.0,4.6,5.9,0.7,0.4,0.28,14,30,0
wheat,2,6,4,45.4,26.7,31.0,8.8,3.2,25.0,12.0,0.5,6.0,12,25,0
olive,0,3,1,46.1,15.0,67.5,0.0,6.6,25.0,2.63,0.7,1.84,5,35,1
wheat,2,7,0,43.1,30.8,34.3,0.0,2.2,24.0,12.0,0.4,4.8,11,30,0
wheat,2,7,0,39.9,30.7,31.8,0.0,7.8,20.4,12.0,0.4,4.8,4,30,0
wheat,2,7,0,27.3,31.8,27.1,0.0,9.1,24.5,12.0,0.4,4.8,2,30,1
citrus,1,4,1,52.9,21.1,58.2,0.0,1.7,25.0,5.39,0.75,4.04,8,42,0
citrus,1,6,3,42.9,29.8,19.8,0.0,8.8,25.0,12.0,0.85,10.2,6,46,1
citrus,1,7,3,32.7,30.5,29.0,0.0,1.5,21.8,12.0,0.85,10.2,9,46,1
olive,0,9,4,70.4,22.6,44.4,0.0,3.1,13.4,4.48,0.7,3.13,4,32,0
citrus,1,10,4,48.4,27.8,51.4,0.0,1.8,10.6,4.62,0.75,3.46,14,42,0
wheat,2,12,0,38.6,12.5,90.4,0.0,4.5,15.9,0.5,0.4,0.2,5,30,0
citrus,1,4,1,35.1,15.4,47.4,0.0,4.9,25.0,4.29,0.75,3.21,6,42,1
olive,0,7,3,42.4,29.1,37.5,0.0,8.1,21.8,12.0,0.75,9.0,13,37,0
olive,0,1,0,74.4,6.0,71.3,6.9,4.2,22.3,0.79,0.65,0.51,0,30,0
wheat,2,11,0,65.6,14.3,51.5,10.9,6.7,11.0,1.62,0.4,0.65,5,30,0
citrus,1,4,1,34.5,11.2,64.3,0.0,7.5,25.0,2.02,0.75,1.51,11,42,1
wheat,2,10,0,38.3,14.5,59.9,0.0,5.0,9.9,1.19,0.4,0.48,7,30,0
olive,0,2,0,59.8,4.5,67.1,0.0,2.6,25.0,0.83,0.65,0.54,9,30,0
olive,0,1,0,27.5,12.5,74.9,0.0,5.4,20.4,1.28,0.65,0.83,10,30,1
olive,0,12,0,42.8,11.1,71.0,0.0,11.0,15.5,1.06,0.65,0.69,4,30,0
wheat,2,11,0,29.7,10.0,77.9,0.0,3.1,12.7,0.51,0.4,0.21,7,30,1
olive,0,1,0,40.3,6.9,74.6,0.0,1.3,17.3,0.57,0.65,0.37,0,30,0
citrus,1,1,0,76.9,11.6,68.6,5.8,2.5,17.3,1.16,0.7,0.81,9,40,0
citrus,1,8,3,41.1,34.1,15.8,0.0,2.1,14.7,12.0,0.85,10.2,3,46,1
olive,0,6,2,17.4,27.6,50.0,0.0,3.4,25.0,11.36,0.75,8.52,6,40,1
wheat,2,12,0,39.8,10.9,60.9,3.5,9.0,15.4,1.35,0.4,0.54,5,30,0
wheat,2,10,0,58.8,17.7,65.9,0.0,2.2,8.9,1.15,0.4,0.46,2,30,0
olive,0,8,3,21.0,38.4,44.7,0.0,4.2,13.7,12.0,0.75,9.0,8,37,1
olive,0,12,0,56.1,13.3,71.3,1.6,4.6,16.5,1.24,0.65,0.81,5,30,0
citrus,1,9,3,38.4,29.0,48.3,0.0,8.1,12.4,7.1,0.85,6.04,13,46,1
wheat,2,10,0,39.0,14.7,54.4,0.0,12.8,8.6,1.36,0.4,0.54,2,30,0
citrus,1,12,4,44.7,6.6,66.9,0.0,9.6,19.0,0.92,0.75,0.69,6,42,0
wheat,2,11,0,41.1,18.5,70.2,0.0,2.7,12.8,1.59,0.4,0.64,10,30,0
wheat,2,8,0,31.9,37.2,32.8,0.0,3.9,18.1,12.0,0.4,4.8,8,30,0
wheat,2,12,0,47.0,17.8,73.9,0.0,5.1,9.7,1.03,0.4,0.41,4,30,0
olive,0,2,0,26.4,12.1,68.4,0.0,8.6,25.0,1.99,0.65,1.3,14,30,1
wheat,2,10,0,40.8,20.0,50.7,0.0,2.1,10.1,2.34,0.4,0.93,11,30,1
citrus,1,2,0,70.0,19.9,70.6,3.4,3.7,25.0,3.52,0.7,2.46,7,40,0
wheat,2,4,3,43.3,25.9,59.0,0.0,2.8,25.0,8.09,1.15,9.3,2,45,1
citrus,1,3,1,67.7,14.6,56.8,0.0,2.9,25.0,3.14,0.75,2.36,13,42,0
olive,0,4,1,69.2,18.2,45.0,0.0,1.1,25.0,5.38,0.7,3.77,5,35,0
citrus,1,11,4,37.3,20.3,57.8,0.0,6.7,12.0,2.65,0.75,1.99,8,42,1
wheat,2,11,0,58.1,13.6,75.3,0.0,2.4,12.8,0.83,0.4,0.33,10,30,0
wheat,2,10,0,40.4,16.2,59.5,0.0,2.1,9.8,1.33,0.4,0.53,3,30,0
citrus,1,6,3,65.0,23.6,48.4,0.0,2.4,25.0,8.35,0.85,7.1,10,46,1
citrus,1,9,3,50.8,24.5,45.1,0.0,8.5,9.0,3.82,0.85,3.25,14,46,0
citrus,1,6,3,50.2,30.5,34.9,0.0,10.1,25.0,12.0,0.85,10.2,0,46,0
citrus,1,3,1,79.8,8.7,55.0,24.3,4.7,25.0,1.88,0.75,1.41,11,42,0
olive,0,3,1,52.5,16.3,59.6,0.0,4.4,25.0,3.55,0.7,2.49,1,35,0
olive,0,9,4,43.5,28.2,42.5,0.0,3.8,10.2,5.68,0.7,3.97,9,32,0
citrus,1,3,1,74.3,20.0,44.6,13.0,6.2,25.0,7.0,0.75,5.25,7,42,1
olive,0,10,4,43.3,18.4,85.0,0.0,1.1,12.9,0.78,0.7,0.54,8,32,0
olive,0,5,2,42.2,21.9,39.8,0.0,4.7,25.0,8.79,0.75,6.59,14,40,0
wheat,2,5,3,58.0,25.4,43.6,12.3,2.5,25.0,10.54,1.15,12.12,1,45,0
wheat,2,12,0,56.7,5.9,67.7,5.6,5.9,14.8,0.6,0.4,0.24,10,30,0
wheat,2,5,3,47.9,23.0,38.2,0.0,5.0,25.0,9.94,1.15,11.43,9,45,0
olive,0,7,3,40.3,28.1,34.7,0.0,6.3,24.4,12.0,0.75,9.0,6,37,0
citrus,1,3,1,34.7,10.6,63.0,0.0,7.8,25.0,1.98,0.75,1.48,7,42,1
citrus,1,8,3,17.2,37.9,27.8,0.0,3.5,16.0,12.0,0.85,10.2,0,46,1
wheat,2,1,1,50.4,8.0,77.4,0.0,2.4,24.2,0.81,0.7,0.57,3,35,0
wheat,2,4,3,36.2,29.4,83.1,0.0,4.6,25.0,4.55,1.15,5.24,14,45,1
wheat,2,12,0,49.8,12.8,82.2,2.5,7.7,19.8,0.94,0.4,0.38,3,30,0
citrus,1,8,3,30.2,29.1,33.9,0.0,1.3,16.1,10.5,0.85,8.93,11,46,1
wheat,2,11,0,50.5,10.1,58.9,0.0,4.3,7.0,0.55,0.4,0.22,9,30,0
wheat,2,6,4,30.5,21.7,30.1,0.0,6.0,25.0,10.22,0.5,5.11,1,25,0
citrus,1,10,4,46.1,24.2,72.9,0.0,3.7,8.7,1.64,0.75,1.23,7,42,0
olive,0,7,3,50.2,31.2,15.9,0.0,1.4,23.0,12.0,0.75,9.0,4,37,0
wheat,2,4,3,51.2,15.4,49.7,7.7,7.6,25.0,4.29,1.15,4.93,7,45,0
wheat,2,2,1,45.9,10.8,71.6,6.1,2.2,25.0,1.39,0.7,0.97,9,35,0
citrus,1,10,4,62.2,21.5,61.8,0.0,5.7,10.2,2.22,0.75,1.66,0,42,0
wheat,2,3,2,25.4,17.8,52.4,0.0,6.4,25.0,4.97,1.15,5.72,14,42,1
wheat,2,1,1,36.6,6.1,75.1,0.0,6.7,20.3,0.65,0.7,0.46,10,35,1
wheat,2,6,4,29.3,31.3,40.6,0.0,10.0,25.0,12.0,0.5,6.0,2,25,0
wheat,2,11,0,43.2,12.7,73.2,0.0,4.7,11.9,0.8,0.4,0.32,6,30,0
olive,0,12,0,20.7,10.0,65.8,0.0,5.8,19.3,1.28,0.65,0.83,9,30,1
wheat,2,8,0,53.5,28.3,25.3,0.0,9.2,16.4,12.0,0.4,4.8,6,30,0
wheat,2,6,4,34.2,25.2,31.9,0.0,9.3,25.0,12.0,0.5,6.0,0,25,0
citrus,1,7,3,41.7,32.1,21.0,0.0,9.6,24.5,12.0,0.85,10.2,5,46,1
citrus,1,12,4,53.5,15.9,60.8,0.0,4.4,13.6,1.79,0.75,1.34,11,42,0
olive,0,8,3,55.0,36.8,38.0,0.0,7.1,15.4,12.0,0.75,9.0,14,37,0
citrus,1,1,0,46.5,9.5,75.6,0.0,1.8,21.8,0.91,0.7,0.64,10,40,0
olive,0,7,3,21.0,25.4,24.8,0.0,10.2,25.0,12.0,0.75,9.0,4,37,1
citrus,1,8,3,41.4,34.3,18.9,0.0,4.3,19.1,12.0,0.85,10.2,8,46,1
wheat,2,7,0,25.5,32.8,27.5,0.0,6.1,23.1,12.0,0.4,4.8,4,30,1
olive,0,6,2,44.4,29.0,41.6,0.0,2.1,25.0,12.0,0.75,9.0,2,40,0
olive,0,8,3,57.6,33.0,41.2,0.0,3.7,15.4,12.0,0.75,9.0,1,37,0
olive,0,10,4,61.8,22.4,50.1,0.0,10.9,9.7,3.26,0.7,2.28,5,32,0
olive,0,3,1,43.5,17.2,56.8,0.0,3.1,25.0,4.03,0.7,2.82,8,35,0
citrus,1,11,4,69.8,17.4,56.9,0.0,6.0,12.0,2.08,0.75,1.56,14,42,0
wheat,2,1,1,53.4,9.8,76.9,2.2,3.5,21.5,0.91,0.7,0.63,10,35,0
wheat,2,12,0,64.0,15.4,90.5,0.0,7.6,14.2,0.5,0.4,0.2,5,30,0
wheat,2,8,0,51.1,31.1,32.7,0.0,5.6,14.1,11.84,0.4,4.73,4,30,1
citrus,1,9,3,45.4,23.6,47.9,0.0,2.0,9.4,3.14,0.85,2.67,7,46,1
citrus,1,5,2,56.6,17.5,33.0,0.0,3.8,25.0,6.46,0.85,5.49,13,48,0
olive,0,4,1,49.6,21.0,57.0,0.0,4.7,25.0,5.8,0.7,4.06,8,35,0
wheat,2,8,0,46.0,40.0,32.4,0.0,6.9,17.4,12.0,0.4,4.8,5,30,0
olive,0,1,0,61.3,11.7,72.7,0.0,9.5,19.7,1.32,0.65,0.86,3,30,0
olive,0,12,0,55.9,8.6,87.4,6.1,5.5,17.1,0.5,0.65,0.33,13,30,0
wheat,2,7,0,47.4,30.4,26.4,10.4,6.4,22.7,12.0,0.4,4.8,3,30,0
olive,0,10,4,54.9,21.4,47.6,0.0,2.6,9.3,2.6,0.7,1.82,3,32,0
olive,0,7,3,38.8,24.0,23.0,0.0,6.7,20.4,11.3,0.75,8.47,13,37,0
olive,0,9,4,42.4,35.9,33.8,0.0,5.4,11.4,12.0,0.7,8.4,6,32,0
olive,0,11,4,41.5,14.5,78.2,0.0,10.4,7.7,0.55,0.7,0.38,13,32,0
wheat,2,11,0,45.5,12.0,65.7,0.0,2.5,13.3,1.02,0.4,0.41,13,30,1
olive,0,9,4,40.4,25.3,44.2,0.0,6.1,11.1,4.89,0.7,3.42,4,32,0
wheat,2,12,0,32.7,15.3,71.9,0.0,5.4,17.0,1.54,0.4,0.62,12,30,0
wheat,2,10,0,59.7,18.7,46.4,0.0,5.1,8.7,2.05,0.4,0.82,1,30,0
citrus,1,6,3,42.4,31.4,42.5,0.0,8.4,25.0,12.0,0.85,10.2,12,46,1
wheat,2,12,0,34.7,15.7,71.6,0.0,8.5,16.1,1.63,0.4,0.65,6,30,0
citrus,1,5,2,13.9,20.8,51.9,0.0,9.6,25.0,6.94,0.85,5.9,13,48,1
wheat,2,5,3,39.6,12.5,40.9,0.0,3.4,25.0,3.54,1.15,4.08,3,45,1
olive,0,12,0,50.9,12.8,69.8,0.0,2.5,20.0,1.46,0.65,0.95,12,30,0
olive,0,10,4,54.2,21.6,55.8,8.1,5.7,14.2,3.63,0.7,2.54,12,32,0
citrus,1,9,3,17.8,27.7,36.8,0.0,6.7,9.7,5.97,0.85,5.07,4,46,1
citrus,1,5,2,49.4,20.1,44.6,0.0,10.8,25.0,7.69,0.85,6.53,13,48,0
citrus,1,6,3,73.9,35.9,49.4,0.0,6.2,25.0,12.0,0.85,10.2,1,46,0
wheat,2,4,3,24.2,15.3,61.1,0.0,11.3,25.0,3.5,1.15,4.03,10,45,1
olive,0,1,0,42.7,13.0,67.7,0.0,5.5,22.8,1.91,0.65,1.24,10,30,0
olive,0,3,1,63.8,10.1,63.9,3.9,4.4,25.0,1.72,0.7,1.21,5,35,0
citrus,1,7,3,52.5,28.7,21.3,0.0,1.8,20.5,12.0,0.85,10.2,6,46,0
olive,0,4,1,57.2,21.3,64.8,0.0,2.6,25.0,4.67,0.7,3.27,9,35,0
wheat,2,1,1,38.8,14.3,77.5,0.0,3.6,22.0,1.41,0.7,0.99,4,35,1
citrus,1,8,3,38.3,30.4,48.9,0.0,8.8,17.0,10.92,0.85,9.28,10,46,0
citrus,1,7,3,49.2,33.5,34.6,0.0,7.8,22.9,12.0,0.85,10.2,11,46,0
olive,0,2,0,46.4,11.2,75.5,0.0,9.7,25.0,1.44,0.65,0.94,5,30,0
olive,0,1,0,57.9,9.5,75.4,0.0,3.5,24.2,1.05,0.65,0.68,7,30,0
wheat,2,7,0,55.7,35.7,17.8,0.0,4.5,19.3,12.0,0.4,4.8,2,30,0
olive,0,12,0,48.3,11.8,80.8,0.0,4.6,18.8,0.83,0.65,0.54,12,30,0
citrus,1,4,1,53.5,18.6,56.5,0.0,3.8,25.0,4.64,0.75,3.48,2,42,0
olive,0,6,2,27.4,26.4,49.9,0.0,5.2,23.8,10.19,0.75,7.64,5,40,1
citrus,1,9,3,47.7,25.7,48.2,0.0,4.0,15.1,6.22,0.85,5.28,8,46,0
wheat,2,3,2,34.6,14.3,65.7,0.0,2.9,25.0,2.43,1.15,2.79,2,42,1
citrus,1,8,3,38.3,27.8,27.1,0.0,7.4,16.0,11.59,0.85,9.85,11,46,1
citrus,1,6,3,50.2,25.1,26.2,0.0,3.8,25.0,12.0,0.85,10.2,11,46,0
citrus,1,5,2,43.1,25.1,59.5,0.0,5.6,25.0,7.86,0.85,6.68,12,48,1
olive,0,12,0,31.9,10.6,73.8,0.0,5.5,17.1,0.92,0.65,0.6,14,30,0
citrus,1,5,2,53.5,25.8,33.8,0.0,7.4,25.0,12.0,0.85,10.2,9,48,0
olive,0,2,0,29.2,11.6,81.1,1.7,8.7,25.0,1.13,0.65,0.74,10,30,1
wheat,2,5,3,31.9,18.0,45.5,0.0,1.5,25.0,5.31,1.15,6.1,9,45,1
olive,0,2,0,58.1,13.5,54.5,3.0,4.0,25.0,3.04,0.65,1.97,0,30,0
olive,0,3,1,54.3,14.5,61.1,0.0,5.4,25.0,2.92,0.7,2.04,2,35,0
citrus,1,1,0,42.1,10.4,82.6,6.8,6.1,18.7,0.66,0.7,0.46,12,40,0
wheat,2,3,2,48.7,10.3,65.8,0.0,3.2,25.0,1.64,1.15,1.89,6,42,0
wheat,2,2,1,39.2,15.2,68.8,0.0,3.2,25.0,2.41,0.7,1.69,9,35,0
wheat,2,5,3,21.6,25.9,29.6,0.0,11.1,25.0,12.0,1.15,13.8,10,45,1
olive,0,1,0,47.4,10.1,72.2,0.0,3.5,19.3,1.0,0.65,0.65,1,30,0
citrus,1,9,3,58.3,27.8,26.0,0.0,13.9,9.2,7.57,0.85,6.44,5,46,0
olive,0,11,4,40.2,12.3,71.1,2.9,7.1,10.1,0.73,0.7,0.51,2,32,0
olive,0,4,1,30.0,25.5,53.9,0.0,3.5,25.0,8.85,0.7,6.19,14,35,1
olive,0,9,4,34.1,19.9,44.8,14.7,2.4,9.7,2.5,0.7,1.75,6,32,0
wheat,2,6,4,52.5,21.0,40.6,0.0,9.7,25.0,8.72,0.5,4.36,14,25,0
olive,0,9,4,54.9,21.2,47.6,0.0,7.5,15.2,4.6,0.7,3.22,11,32,0
olive,0,5,2,41.6,21.7,54.0,0.0,14.0,25.0,7.73,0.75,5.79,11,40,0
wheat,2,12,0,34.6,11.8,74.7,0.0,4.8,16.0,0.93,0.4,0.37,7,30,0
citrus,1,8,3,37.4,31.4,35.4,0.0,2.2,16.0,12.0,0.85,10.2,12,46,1
wheat,2,3,2,38.5,12.6,47.3,0.0,7.0,25.0,3.41,1.15,3.92,5,42,1
olive,0,10,4,35.5,17.8,61.7,0.0,5.9,11.7,1.84,0.7,1.29,9,32,0
olive,0,3,1,78.0,14.2,65.9,8.9,13.2,25.0,2.84,0.7,1.99,3,35,0
wheat,2,10,0,27.5,20.5,55.3,0.0,6.3,10.8,2.56,0.4,1.02,3,30,1
citrus,1,10,4,54.1,26.0,54.9,0.0,11.6,11.0,4.61,0.75,3.46,3,42,0
olive,0,9,4,49.2,22.9,40.5,0.0,1.4,13.6,4.81,0.7,3.37,6,32,0
citrus,1,8,3,49.2,32.1,28.3,0.0,5.8,18.6,12.0,0.85,10.2,5,46,0
wheat,2,11,0,53.2,12.2,53.0,9.8,2.4,10.3,1.1,0.4,0.44,1,30,0
wheat,2,4,3,36.5,27.5,61.5,11.4,7.4,25.0,9.37,1.15,10.77,7,45,1
wheat,2,9,0,46.2,31.7,55.7,0.0,3.7,10.9,6.15,0.4,2.46,12,30,0
wheat,2,10,0,37.8,17.1,52.2,0.0,2.5,8.0,1.4,0.4,0.56,8,30,0
citrus,1,11,4,58.6,13.4,72.1,0.0,9.8,10.7,0.87,0.75,0.65,11,42,0
citrus,1,4,1,63.6,22.4,73.2,4.4,1.3,25.0,3.82,0.75,2.86,11,42,0
wheat,2,10,0,48.1,15.3,46.7,0.0,8.8,12.2,2.25,0.4,0.9,7,30,0
citrus,1,12,4,56.6,8.5,95.0,0.0,5.8,17.8,0.5,0.75,0.38,12,42,0
olive,0,10,4,48.8,23.7,53.8,0.0,2.7,6.4,1.92,0.7,1.35,7,32,0
wheat,2,2,1,41.1,9.4,57.7,0.0,3.5,25.0,1.85,0.7,1.3,0,35,0
wheat,2,12,0,56.5,9.9,64.6,15.7,6.5,12.8,0.88,0.4,0.35,3,30,0
citrus,1,1,0,22.8,11.8,74.7,0.0,1.6,21.0,1.15,0.7,0.81,13,40,1
citrus,1,10,4,33.1,22.0,50.9,0.0,8.5,11.9,3.67,0.75,2.75,13,42,1
citrus,1,12,4,25.4,12.6,74.8,8.5,8.0,18.7,1.24,0.75,0.93,5,42,0
wheat,2,11,0,33.4,18.9,59.8,8.0,6.1,12.0,2.22,0.4,0.89,9,30,0
citrus,1,4,1,56.9,21.1,61.9,7.8,3.2,25.0,5.03,0.75,3.77,14,42,0
citrus,1,8,3,26.1,30.9,50.1,0.0,3.1,16.6,9.74,0.85,8.28,11,46,1
wheat,2,3,2,36.2,12.0,68.8,0.0,8.7,25.0,1.96,1.15,2.25,3,42,1
olive,0,9,4,44.8,22.0,21.7,0.0,3.7,12.7,5.73,0.7,4.01,4,32,0
citrus,1,7,3,51.8,26.8,32.7,0.0,5.7,19.3,11.62,0.85,9.88,0,46,0
olive,0,9,4,48.9,27.9,39.6,0.0,5.4,10.8,6.31,0.7,4.42,2,32,0
wheat,2,3,2,38.7,11.2,76.2,0.0,5.7,25.0,1.3,1.15,1.5,13,42,1
olive,0,10,4,28.2,15.3,61.4,0.0,1.9,9.2,1.09,0.7,0.76,6,32,1
olive,0,9,4,26.8,22.4,40.0,0.0,2.3,13.9,4.82,0.7,3.38,13,32,1
citrus,1,5,2,40.3,30.1,44.9,0.0,5.2,25.0,12.0,0.85,10.2,14,48,1
citrus,1,8,3,36.6,36.5,46.4,0.0,2.0,17.6,12.0,0.85,10.2,7,46,1
olive,0,7,3,45.5,30.4,41.4,0.0,2.8,25.0,12.0,0.75,9.0,12,37,0
citrus,1,7,3,42.0,30.4,25.0,0.0,3.8,25.0,12.0,0.85,10.2,14,46,1
citrus,1,12,4,33.1,15.7,77.7,0.0,3.5,16.4,1.2,0.75,0.9,9,42,0
citrus,1,9,3,33.4,26.3,40.4,0.0,7.8,9.3,4.94,0.85,4.2,10,46,1
citrus,1,11,4,49.3,11.3,69.5,0.0,2.1,10.1,0.64,0.75,0.48,13,42,0
olive,0,8,3,25.8,33.5,47.8,0.0,2.4,14.9,11.05,0.75,8.29,1,37,1
wheat,2,6,4,31.3,22.0,34.6,0.0,4.2,25.0,9.49,0.5,4.75,11,25,0
olive,0,6,2,49.8,27.8,44.6,0.0,3.2,25.0,12.0,0.75,9.0,4,40,0
wheat,2,11,0,44.2,15.7,63.4,2.7,5.7,11.4,1.41,0.4,0.57,4,30,0
olive,0,9,4,47.6,18.0,42.5,0.0,5.6,16.3,3.95,0.7,2.77,2,32,0
wheat,2,1,1,63.5,10.0,74.2,0.0,2.6,20.6,0.98,0.7,0.68,11,35,0
olive,0,10,4,57.4,18.3,56.9,0.0,5.4,11.5,2.12,0.7,1.49,10,32,0
wheat,2,6,4,41.5,22.8,34.8,0.0,7.2,25.0,10.73,0.5,5.37,8,25,0
citrus,1,11,4,50.9,13.9,62.2,0.0,6.2,11.7,1.27,0.75,0.95,10,42,0
wheat,2,12,0,38.5,14.2,64.9,0.0,5.7,16.2,1.67,0.4,0.67,8,30,0
citrus,1,1,0,42.9,3.3,70.6,0.0,3.0,25.0,0.65,0.7,0.45,2,40,0
citrus,1,6,3,80.0,20.1,33.7,0.0,4.4,25.0,8.23,0.85,7.0,2,46,0
olive,0,3,1,53.9,15.9,70.5,0.0,3.6,25.0,2.46,0.7,1.72,3,35,0
citrus,1,4,1,57.6,16.5,56.9,0.0,6.7,25.0,4.01,0.75,3.01,4,42,0
wheat,2,8,0,49.3,26.5,36.9,0.0,1.9,17.2,8.78,0.4,3.51,12,30,0
citrus,1,4,1,49.6,28.5,59.9,0.0,2.0,25.0,9.58,0.75,7.18,11,42,0
citrus,1,3,1,62.0,13.2,60.1,0.0,3.0,25.0,2.54,0.75,1.9,0,42,0
wheat,2,1,1,43.1,13.1,58.4,2.8,3.5,17.8,1.88,0.7,1.31,4,35,0
citrus,1,8,3,37.0,32.5,26.2,0.0,5.3,15.8,12.0,0.85,10.2,7,46,1
citrus,1,8,3,61.5,36.6,24.6,0.0,2.4,17.4,12.0,0.85,10.2,1,46,0
wheat,2,8,0,22.0,34.3,28.9,0.0,3.2,18.2,12.0,0.4,4.8,1,30,1
olive,0,1,0,58.6,10.4,70.3,1.8,4.8,19.2,1.13,0.65,0.74,5,30,0
citrus,1,10,4,77.5,28.0,58.0,17.2,4.3,10.4,4.17,0.75,3.12,5,42,0
wheat,2,2,1,46.5,12.2,64.6,0.0,4.2,25.0,2.09,0.7,1.46,2,35,0
citrus,1,10,4,46.1,11.7,55.9,1.9,10.3,7.5,0.83,0.75,0.62,10,42,0
citrus,1,5,2,39.0,25.7,55.9,0.0,12.9,25.0,10.19,0.85,8.66,3,48,1
citrus,1,5,2,47.6,25.9,43.3,0.0,4.4,25.0,11.46,0.85,9.74,0,48,1
citrus,1,2,0,41.9,19.3,66.4,0.0,3.1,25.0,3.8,0.7,2.66,0,40,0
citrus,1,5,2,56.1,25.9,45.9,0.0,2.0,25.0,10.48,0.85,8.91,7,48,0
wheat,2,11,0,54.2,12.8,73.1,0.0,5.2,13.1,0.89,0.4,0.36,9,30,0
